;Nombre;NIF;Localidad;País;Inmovilizado_Inmaterial;Fecha_Constitucion;Last_year;ROA23;Total_Activo;Ingresos_Explotacion;Empleados;Ratio_Liquidez;Ratio_Solvencia;CNAE;Ratio_Endeudamiento;EBITDA;Resultado_Ejercicio
2649.;CIBER FORLOPD SL.;B01752518;VALENCIA;ESPANA;n.d.;17/07/2020;31/12/2021;n.d.;n.d.;n.d.;4;n.d.;n.d.;6209;n.d.;n.d.;n.d.
2650.;PIROTE OBRAS Y SERVICIOS SOCIEDAD LIMITADA.;B01613868;CASASIMARRO;ESPANA;n.d.;02/07/2020;31/12/2024;-1,11;1.029;26;1;9.114,38;91,14;6209;2,66;1;-18
2651.;ENHANCE XR SL.;B72959166;MADRID;ESPANA;n.d.;01/01/2023;31/12/2024;-49,65;17;13;2;73,32;0,73;6201;101,52;-9;-7
2652.;PMAVIS NEW CONSULTING S.L.;B02902963;BEGUES;ESPANA;n.d.;30/12/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2653.;IROME SOLUCIONES INDUSTRIALES SL.;B02672251;ALCALA DE HENARES;ESPANA;n.d.;14/10/2020;31/12/2024;-22,82;37;54;1;257,23;2,57;6209;18,51;-7;-8
2654.;AMILON IBERIA SL.;B88388640;MADRID;ESPANA;n.d.;10/05/2019;31/12/2019;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2655.;ENVIOS AL MEJOR CAMBIO S.L.;B67385013;BARCELONA;ESPANA;n.d.;22/02/2019;31/12/2022;n.d.;n.d.;n.d.;3;n.d.;n.d.;6399;n.d.;n.d.;n.d.
2656.;HAA MOBIUS 22 SL.;B10626471;VILLAVICIOSA DE ODON;ESPANA;n.d.;27/04/2022;31/12/2024;3,7;164;86;1;1.774,22;17,74;6202;0,58;6;5
2657.;COMUNICACIONES INTEGRALES TUROLENSES SL.;B44276756;TERUEL;ESPANA;2;29/08/2019;31/12/2024;1,38;14;72;1;130,89;1,31;6202;1,58;1;0
2658.;DIGITALDEV WEB Y MULTIMEDIA SOCIEDAD LIMITADA.;B13909635;O GROVE;ESPANA;23;09/06/2023;31/12/2024;14,02;28;35;2;58,7;0,59;6201;52,42;5;3
2659.;BARNATEC DIGITAL S.L.;B67350363;BARCELONA;ESPANA;n.d.;02/01/2019;31/12/2024;18,24;29;64;1;223,39;2,23;6201;17,18;6;4
2660.;ARTHA HOLDING E INVERSIONES SOCIEDAD LIMITADA.;B40548307;VALENCIA;ESPANA;n.d.;01/01/2019;31/12/2024;0,84;1.649;66;1;1.502,62;15,03;6202;0;24;154
2661.;ARKANE SOFTWARE SOCIEDAD LIMITADA.;B16660813;SANT JOSEP DE SA TALAIA;ESPANA;n.d.;16/01/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2662.;CARSULTANCY SL.;B55395859;MADRID;ESPANA;n.d.;14/05/2024;31/12/2024;n.d.;n.d.;n.d.;2;n.d.;n.d.;6399;n.d.;n.d.;n.d.
2663.;MASQUEIT BEDE SL.;B25856386;LLEIDA;ESPANA;n.d.;11/10/2019;31/12/2024;8,34;56;62;1;191,8;1,92;6202;75,29;6;3
2664.;DAKTARI CONSULTING SL.;B88320023;SORIA;ESPANA;n.d.;21/02/2019;31/12/2023;-27,57;3;73;1;n.s.;n.s.;6209;0;0;-1
2665.;HANGAR XXI TECHNOLOGY SL.;B01612407;MADRID;ESPANA;n.d.;09/06/2020;31/12/2024;6,42;63;134;2;87,94;0,88;6202;76,16;4;3
2666.;NIMBO SOFTWARE SL.;B01973973;SANTA CRUZ DE TENERIFE;ESPANA;n.d.;25/09/2020;31/12/2024;19,7;40;68;2;1.084,71;10,85;6201;0,77;8;6
2667.;FAIR DATA SYSTEMS SL.;B88522578;MADRID;ESPANA;n.d.;08/11/2019;31/12/2024;15;100;57;1;2.369,37;23,69;6201;0;15;12
2668.;FIBRA OPTICA ESPAÑA 2005 SL.;B09875329;MADRID;ESPANA;n.d.;09/03/2022;31/12/2024;18,56;35;105;1;84,33;0,84;6190;0;6;5
2669.;VISION ANGULAR SL.;B42627869;PETRER;ESPANA;n.d.;11/02/2019;31/12/2024;287,58;7;119;1;9,43;0,09;6201;458,71;20;14
2670.;TEYBIK SERVICIOS DIGITALES S.L.;B67659565;BADAJOZ;ESPANA;n.d.;20/10/2021;31/12/2022;n.d.;n.d.;n.d.;4;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2671.;CASPIDE MARKETING ESTRATEGICO Y DIGITAL SOCIEDAD LIMITADA.;B90422122;SEVILLA;ESPANA;n.d.;13/02/2019;31/12/2020;n.d.;n.d.;n.d.;2;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2672.;VISIBLESOFT SL.;B88425285;CUBAS DE LA SAGRA;ESPANA;n.d.;25/06/2019;31/12/2024;6,1;135;40;2;119,42;1,19;6202;18,28;8;8
2673.;OREIN SOLUZIOAK SOCIEDAD LIMITADA.;B02838951;PORTUGALETE;ESPANA;n.d.;24/11/2020;31/12/2024;6,87;26;56;1;305,01;3,05;6209;0;2;1
2674.;TECNOLOGIAS Y TELECOMUNICACIONES DEL CANTABRICO SL.;B67978999;GRANADILLA DE ABONA;ESPANA;n.d.;05/01/2022;31/12/2022;n.d.;n.d.;n.d.;1;n.d.;n.d.;6190;n.d.;n.d.;n.d.
2675.;WIRED BARCELONA SISCO S.L.;B01714609;EL MASNOU;ESPANA;n.d.;09/07/2020;31/12/2024;15,27;45;65;2;585,73;5,86;6209;0;8;5
2676.;AQTIVA DATA TECHNOLOGIES S.L.;B42873562;BARCELONA;ESPANA;n.d.;11/02/2021;28/02/2023;n.d.;n.d.;n.d.;1;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2677.;KLAUTEL, SOCIEDAD LIMITADA.;B04999181;TOMELLOSO;ESPANA;n.d.;23/03/2021;31/12/2024;10,67;9;81;1;93,81;0,94;6110;10,22;1;0
2678.;TEAPPLICAMOS EVENTS SOCIEDAD LIMITADA.;B04914008;ALMERIA;ESPANA;n.d.;11/09/2019;31/12/2024;25,56;68;43;1;213,28;2,13;6399;25,57;20;13
2679.;VALLACLOUD, SOCIEDAD LIMITADA.;B02643930;PALENCIA;ESPANA;n.d.;06/10/2020;31/12/2024;27,06;41;63;4;1.141,42;11,41;6209;0;12;9
2680.;MARKETLABS ENTERPRISES SOCIEDAD LIMITADA.;B56958465;ZARAGOZA;ESPANA;n.d.;17/01/2024;31/12/2024;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2681.;LOBO BUSINESS TRANSFORMATION SL.;B16851958;COLMENAR VIEJO;ESPANA;n.d.;02/09/2021;31/12/2022;n.d.;n.d.;n.d.;1;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2682.;FACILETHINGS SL.;B42687822;ELCHE/ELX;ESPANA;n.d.;20/12/2019;31/12/2024;3,21;29;72;2;815,17;8,15;6201;17,43;1;1
2683.;MALADETA STUDIO SL;B02697837;VIELHA E MIJARAN;ESPANA;38;02/11/2020;31/12/2023;4,13;112;71;4;345,32;3,45;6201;49,11;5;1
2684.;FIKA CAPITAL INVESTMENTS SOCIEDAD LIMITADA.;B01999069;ALGEMESI;ESPANA;n.d.;02/10/2020;31/12/2024;0,35;40;58;1;80,22;0,8;6209;51,67;4;0
2685.;SAREBIDE SOLUTIONS SOCIEDAD LIMITADA.;B42732636;ORTUELLA;ESPANA;n.d.;11/01/2021;31/12/2024;49,77;5;58;1;23,34;0,23;6201;5,95;3;2
2686.;ALTONET SL.;B42220442;SORIA;ESPANA;n.d.;01/01/2019;31/12/2019;n.d.;n.d.;n.d.;3;n.d.;n.d.;6190;n.d.;n.d.;n.d.
2687.;GABINETE DE DISEÑO E INVESTIGACION SANITARIA JPJ SOCIEDAD LIMITADA.;B52572146;GIJON;ESPANA;0;13/06/2019;31/12/2024;28,11;66;69;2;81,43;0,81;6202;28,81;21;15
2688.;IBERTIC TELECOM SL.;B44518421;CASTELLO PLANA/CASTELLON PLANA;ESPANA;n.d.;23/01/2019;31/12/2023;33,33;45;70;4;332,84;3,33;6202;0;15;11
2689.;VELEC PARTNER SL.;B42844068;VALENCIA;ESPANA;n.d.;05/02/2021;31/12/2024;-0,45;531;100;1;756,2;7,56;6202;64,59;4;13
2690.;INPRONET SOLUTIONS SL.;B88616776;SAN SEBASTIAN DE LOS REYES;ESPANA;15;23/03/2020;31/12/2024;-8,31;55;37;2;24,81;0,25;6201;111,55;-4;-3
2691.;LHAGTON SOCIEDAD LIMITADA.;B70671409;L'ELIANA;ESPANA;n.d.;06/02/2024;31/12/2024;n.d.;n.d.;n.d.;1;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2692.;BASE DE DATOS DE MOROSIDAD INMOBILIARIA SL.;B88415104;MADRID;ESPANA;n.d.;11/06/2019;31/12/2024;-68,73;81;52;2;207,41;2,07;6311;1,44;-56;-42
2693.;SPASCAT TECHNOLOGIES S.L.;B72935513;EL MASNOU;ESPANA;n.d.;01/01/2023;31/12/2024;-0,01;17;17;4;113,76;1,14;6209;0;0;0
2694.;D4SF AGRICULTURE SL.;B01634294;POZUELO DE ALARCON;ESPANA;n.d.;17/06/2020;31/12/2024;11,69;85;81;2;367,46;3,67;6399;20,63;10;10
2695.;LEVANTE NETWORKS TELECOM SL.;B13770219;TORRE-PACHECO;ESPANA;n.d.;11/05/2023;31/12/2023;28,33;102;69;1;240,04;2,4;6110;7,2;31;25
2696.;KELSER SOLUTIONS 2022 SL.;B10849396;VINAROS;ESPANA;n.d.;23/06/2022;31/12/2023;85,27;22;69;2;143,48;1,43;6201;0;20;14
2697.;SWEARIT TECHNOLOGIES SL.;B01738038;MADRID;ESPANA;1;14/07/2020;31/12/2024;6,55;79;155;1;79,17;0,79;6201;0;6;5
2698.;SALVIAX INNOVA S.L.;B72969496;LLEIDA;ESPANA;n.d.;03/01/2023;31/12/2023;48,65;49;69;1;215,76;2,16;6399;10,15;24;18
2699.;GOLDEN BANANA S.L.;B67370585;BARCELONA;ESPANA;n.d.;30/01/2019;31/12/2024;47,4;138;121;1;528,75;5,29;6201;0;67;50
2700.;PLANNING APP SL.;B05341524;DAYA NUEVA;ESPANA;n.d.;09/04/2021;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6209;n.d.;n.d.;n.d.
2701.;SOFTWARE RURAL SL.;B05302906;SALAS DE LOS INFANTES;ESPANA;n.d.;30/03/2021;31/12/2024;2,71;72;173;1;87,06;0,87;6201;0;3;0
2702.;INFORMARBELLA SL.;B01637370;MARBELLA;ESPANA;n.d.;18/06/2020;31/12/2023;-0,03;289;69;2;120,68;1,21;6209;83,58;5;1
2703.;DEVAPPS PROJECTS S.L.;B10763217;SANT CUGAT DEL VALLES;ESPANA;n.d.;02/06/2022;31/12/2022;n.d.;n.d.;n.d.;1;n.d.;n.d.;6209;n.d.;n.d.;n.d.
2704.;NAMOCODE SL.;B11977014;LA OROTAVA;ESPANA;n.d.;26/02/2020;31/12/2024;6,94;52;47;2;139,56;1,4;6201;56,1;5;3
2705.;EXEGAL DIGITAL SOCIEDAD LIMITADA.;B56940471;CANGAS;ESPANA;n.d.;12/01/2024;31/12/2024;n.d.;n.d.;n.d.;1;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2706.;THE ELOQUIUM COMPANY SL.;B88594742;MADRID;ESPANA;n.d.;13/02/2020;31/12/2023;18,84;17;68;2;180,68;1,81;6190;0,79;3;3
2707.;MAQUELAME SL.;B10981074;RIVAS-VACIAMADRID;ESPANA;25;28/07/2022;31/12/2024;0,11;35;45;2;122,65;1,23;6201;0,61;0;n.d.
2708.;PICMON CONSULTORIA E INVERSIONES SOCIEDAD LIMITADA.;B40548299;VALENCIA;ESPANA;n.d.;01/01/2019;31/12/2024;-3,51;1.230;63;1;703,56;7,04;6202;18,93;-25;54
2709.;DOCE CONSULTORIA NTIC SOCIEDAD LIMITADA.;B02796233;BENICARLO;ESPANA;n.d.;13/11/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6209;n.d.;n.d.;n.d.
2710.;PALM MAR STUDIOS SL.;B05392907;ARONA;ESPANA;n.d.;21/04/2021;31/12/2024;1,43;170;61;1;872,24;8,72;6201;24,68;5;0
2711.;MOAI ANALYTICS S.L.;B67406710;BARCELONA;ESPANA;n.d.;01/04/2019;31/12/2024;8,12;20;87;1;144,46;1,44;6202;4,06;2;1
2712.;IOSBIT COMUNICACIONES SL.;B42897355;ALCORCON;ESPANA;n.d.;16/02/2021;31/12/2024;15,44;155;100;1;262,95;2,63;6190;5,05;24;18
2713.;OXEEN TECHNOLOGIES S.L.;B09786138;BARCELONA;ESPANA;56;18/02/2022;31/12/2023;-16,79;103;68;2;2.403,96;24,04;6201;104,97;-6;-22
2714.;CONSILIUM FOUR DIGITAL SL.;B88302955;ALPEDRETE;ESPANA;n.d.;01/02/2019;31/12/2024;-3,56;59;128;2;205,12;2,05;6202;0;-2;-2
2715.;RFSUMINISTRES, S.L.;B56734262;TARRAGONA;ESPANA;n.d.;28/11/2023;31/12/2024;n.d.;n.d.;n.d.;2;n.d.;n.d.;6190;n.d.;n.d.;n.d.
2716.;ACGM COMUNICANDO SL.;B01686625;GIJON;ESPANA;n.d.;01/07/2020;31/12/2024;25,25;187;118;2;184,91;1,85;6190;41,48;63;35
2717.;DIGITALWIBOX S.L.;B67969295;PINEDA DE MAR;ESPANA;n.d.;03/01/2022;31/12/2023;71,95;17;67;1;276,93;2,77;6209;0;13;10
2718.;BSS SPAIN IT SL.;B16845042;CALVIA;ESPANA;n.d.;01/09/2021;31/12/2024;69,03;187;239;1;3.660,10;36,6;6201;107,13;130;129
2719.;MARTRENDS APPS S.L.;B67505370;MATARO;ESPANA;2;24/09/2019;31/12/2024;-23,31;65;20;2;1.018,28;10,18;6201;76,25;-13;-12
2720.;SUBLIME STUDIO SL.;B88461421;TORREJON DE ARDOZ;ESPANA;5;08/08/2019;31/12/2024;12,58;137;32;2;413,26;4,13;6202;35,94;22;12
2721.;VALMOT CONSULTING SOCIEDAD LIMITADA.;B19693407;MOTRIL;ESPANA;n.d.;16/05/2019;31/12/2022;n.d.;n.d.;n.d.;1;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2722.;INMOAREA PARTNERS SL.;B42710780;MOLINA DE SEGURA;ESPANA;8;28/05/2020;31/12/2024;-66;21;4;1;89,24;0,89;6201;7,04;-9;-11
2723.;GESTION INTEGRAL DE PROCESOS 2019 SL.;B75212613;DEBA;ESPANA;n.d.;03/01/2019;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6203;n.d.;n.d.;n.d.
2724.;PCPELI SOLUCIONES INFORMATICAS S.L.;B13950480;ALBURQUERQUE;ESPANA;n.d.;19/06/2023;31/12/2024;35,34;13;12;2;242,86;2,43;6190;0;5;5
2725.;UKTENA TECH SOCIEDAD LIMITADA.;B02787349;SANTANDER;ESPANA;284;09/11/2020;31/12/2023;-17,37;333;67;11;70,23;0,7;6209;49,31;-54;-65
2726.;SLANG INNOVATIONS SL.;B01594746;MURCIA;ESPANA;424;05/06/2020;31/12/2024;1,68;617;216;5;110,44;1,1;6201;59,08;16;1
2727.;NON SOLUM TECH S.L.;B13802814;VILANOVA I LA GELTRU;ESPANA;n.d.;18/05/2023;31/12/2024;3,42;9;15;1;238,75;2,39;6202;0;0;0
2728.;ARFUTURE REALIDAD AUMENTADA SL.;B01770593;MADRID;ESPANA;n.d.;23/07/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2729.;BESTBRACE S.L.;B01650902;SABADELL;ESPANA;n.d.;23/06/2020;31/12/2024;1,62;6;14;1;59,09;0,59;6201;151,35;0;0
2730.;ILUGON EDUCATIONAL GAMES SL.;B42995845;MADRID;ESPANA;5;09/03/2021;31/12/2024;18,87;16;54;2;150,49;1,5;6201;1,53;7;2
2731.;HELIO TELECOM S.L.;B06761779;DON BENITO;ESPANA;n.d.;03/03/2020;31/12/2024;16,58;51;49;2;158,59;1,59;6190;22,12;11;26
2732.;LIBEEN SMART HOUSING SL.;B88469036;MADRID;ESPANA;175;04/09/2019;31/12/2024;-29,48;1.618;20;4;2.285,59;22,86;6209;19,62;-463;-373
2733.;NEBULA SOFTWARE SOCIEDAD LIMITADA.;B40577793;VALENCIA;ESPANA;n.d.;03/04/2019;31/12/2020;n.d.;n.d.;n.d.;2;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2734.;ZAMORA Y CARALT ASOCIADOS SL.;B06983712;SAN SEBASTIAN DE LOS REYES;ESPANA;n.d.;05/07/2021;31/12/2023;2,33;113;66;2;223,47;2,23;6202;8,82;7;2
2735.;SOLOPLAN SPAIN SL.;B09935610;MOLINA DE SEGURA;ESPANA;n.d.;21/03/2022;31/12/2022;n.d.;n.d.;n.d.;1;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2736.;MDLV PLATFORMS SL.;B09767054;BENIDORM;ESPANA;215;16/02/2022;31/12/2024;-0,18;309;6;2;1.121,59;11,22;6201;63,25;-1;0
2737.;SIEMPREMIUM IBERICA CONSULTORIA SOCIEDAD LIMITADA.;B88323100;MADRID;ESPANA;n.d.;22/02/2019;31/12/2023;-87,74;14;66;1;0,77;0,01;6399;7,69;-12;-10
2738.;RAPIVEN99 SOCIEDAD LIMITADA.;B40661811;BARAKALDO;ESPANA;n.d.;03/06/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2739.;MANCE TECH CONSULTING S.L.;B19781244;BARCELONA;ESPANA;n.d.;18/06/2024;31/12/2024;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2740.;ARASHI SYSTEMS S.L.;B67536730;SANT CUGAT DEL VALLES;ESPANA;n.d.;12/11/2019;31/12/2023;22,43;22;65;1;185,01;1,85;6201;0;5;4
2741.;SANZONETECH SL.;B42999698;ZARAGOZA;ESPANA;n.d.;11/03/2021;31/12/2023;41,6;38;65;2;1.101,61;11,02;6202;0;16;12
2742.;PUBLICIDAD SISMIS SL.;B71393607;TAFALLA;ESPANA;n.d.;30/01/2020;31/12/2024;7,3;8;55;1;121,57;1,22;6399;0;1;2
2743.;PINOQ INNOVATION SERVICES SL.;B72692544;ELX/ELCHE;ESPANA;n.d.;02/11/2022;31/12/2024;-73,06;30;21;2;50,82;0,51;6201;82,25;-21;-17
2744.;INFORVISA TECHNOLOGY SL.;B02946424;L'ELIANA;ESPANA;0;01/01/2021;31/12/2024;37,19;47;56;1;72;0,72;6201;25,24;18;12
2745.;DEVELOPMENT SYSTEMS AND DATA ACQUISITION SL.;B01630797;FUENTE EL SAZ DE JARAMA;ESPANA;n.d.;16/06/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2746.;LIHGT WAVES TELECOM SOCIEDAD LIMITADA.;B39882584;SANTANDER;ESPANA;n.d.;20/09/2019;31/12/2024;1,07;64;65;2;220,15;2,2;6209;0;2;1
2747.;NOVA INDUSTRIA GALEGA SL.;B27518364;RIBADEO;ESPANA;0;15/05/2020;31/12/2024;11,81;109;182;4;545,36;5,45;6201;19,71;14;9
2748.;FOODTHINKERS TECHNOLOGY COMPANY SL.;B72784150;SANTA CRUZ DE TENERIFE;ESPANA;24;23/11/2022;31/12/2024;-15;46;21;1;340,17;3,4;6201;0;-7;-5
2749.;ALMABINARIA DEVELOVERS, SOCIEDAD LIMITADA.;B09713066;A CORUÑA;ESPANA;n.d.;04/02/2022;31/12/2023;45,84;20;65;1;433,19;4,33;6201;0;9;7
2750.;NUCLEO 360 SL.;B72786379;MALAGA;ESPANA;n.d.;22/11/2022;31/12/2024;99,75;7;8;2;440,93;4,41;6209;5,25;7;5
2751.;BRANDAPP SL.;B16988677;MADRID;ESPANA;29;07/10/2021;31/12/2023;-25,01;152;65;2;131,95;1,32;6209;53,94;-34;-32
2752.;GO2CHAIN SOCIEDAD LIMITADA.;B72594302;GIJON;ESPANA;40;06/10/2022;31/12/2024;-4,92;85;47;5;204,32;2,04;6201;0;-4;-3
2753.;AXIOMER TECH SL.;B67789057;VALENCIA;ESPANA;n.d.;22/11/2021;31/12/2023;5,07;10;64;2;115,81;1,16;6202;0;1;0
2754.;OLAMO MOBILE SL.;B10595999;MADRID;ESPANA;n.d.;25/04/2022;31/12/2024;-177,05;1.814;40;48;123,47;1,23;6190;4,63;-3.208;-2.521
2755.;ASSURED CLARITY IBERIA SOCIEDAD LIMITADA.;B67959882;BILBAO;ESPANA;20;30/12/2021;31/12/2024;-78,14;57;67;2;31,69;0,32;6202;99,2;-42;-48
2756.;MAXMAXDATA SOCIEDAD LIMITADA.;B95946943;LEIOA;ESPANA;n.d.;29/01/2019;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2757.;AVALON SUBVENCIONES SL.;B04927059;MADRID;ESPANA;n.d.;09/03/2021;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6203;n.d.;n.d.;n.d.
2758.;EPHEMERAL SOFTWARE SL.;B88283585;COLMENAR VIEJO;ESPANA;n.d.;10/01/2019;31/12/2024;9,53;50;76;1;n.s.;n.s.;6201;36,57;8;4
2759.;CYBERGAMP SL.;B88451398;MADRID;ESPANA;n.d.;25/07/2019;31/12/2024;-17,55;11;18;2;280,55;2,81;6202;0;-1;-1
2760.;MIRMIT NOVA SOCIEDAD LIMITADA.;B10676344;LA SENIA;ESPANA;n.d.;13/05/2022;31/12/2024;0;3;n.d.;2;n.s.;n.s.;6201;0;n.d.;n.d.
2761.;THE NORWEGIAN AGENCY SL.;B93736023;MALAGA;ESPANA;n.d.;24/01/2020;31/12/2024;-5,62;75;43;2;4.380,24;43,8;6201;0;-4;-5
2762.;ABENOA NETWORKS & IT GLOBAL SERVICES SL.;B05282173;SESEÑA;ESPANA;3;25/03/2021;31/12/2024;43,7;32;66;1;274,98;2,75;6202;1,68;14;11
2763.;MBSOK SL.;B30934095;TORRE-PACHECO;ESPANA;n.d.;28/04/2020;31/12/2024;7,92;264;38;1;189,59;1,9;6399;10,2;21;21
2764.;SOLEA TECHNOLOGY SOCIEDAD LIMITADA.;B02669000;ALMUÑECAR;ESPANA;n.d.;14/10/2020;31/12/2024;5,41;65;275;1;84;0,84;6110;25,26;7;3
2765.;ENKI TECHNOLOGIES SL.;B16752826;DONOSTIA/SAN SEBASTIAN;ESPANA;40;16/07/2021;31/12/2023;-6,24;178;63;1;1.897,88;18,98;6201;16,89;-6;-11
2766.;VIRTUALMOVE SOCIEDAD LIMITADA.;B72484439;VALENCIA;ESPANA;n.d.;01/09/2022;31/12/2023;95,06;65;63;2;643,8;6,44;6209;1,44;62;52
2767.;CARME COLL COMUNICA SOCIEDAD LIMITADA.;B55364418;BANYOLES;ESPANA;n.d.;01/01/2020;31/12/2020;n.d.;n.d.;n.d.;1;n.d.;n.d.;6391;n.d.;n.d.;n.d.
2768.;SOLUCIONES LOGISTICAS ANJA SOCIEDAD LIMITADA.;B40583064;BENIPARRELL;ESPANA;n.d.;06/05/2019;31/12/2024;1,47;34;49;1;75,79;0,76;6202;39,52;1;0
2769.;GLOBAL SOUL PRODUCTIONS SOCIEDAD LIMITADA.;B13810973;GANDIA;ESPANA;n.d.;22/05/2023;31/12/2023;73,75;44;63;1;339,81;3,4;6190;0;33;28
2770.;GROOW CONSULTING BARCELONA S.L.;B56827538;BARCELONA;ESPANA;n.d.;19/12/2023;31/12/2024;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2771.;GRUPO GARNEG SL.;B06855290;VALLE GRAN REY;ESPANA;n.d.;02/06/2021;31/12/2024;2,5;164;41;2;492,55;4,93;6399;0;4;3
2772.;FOXTER STUDIO SL.;B04990479;SANTA CRUZ DE TENERIFE;ESPANA;332;22/03/2021;31/12/2024;-0,7;413;78;1;30,64;0,31;6201;59,18;33;-3
2773.;RODYAN OUTSOURCING, SOCIEDAD LIMITADA.;B67812354;SUANCES;ESPANA;n.d.;19/11/2021;31/12/2024;79,43;27;56;2;474,97;4,75;6190;0;21;18
2774.;COX SECURITY SL.;B06790224;MADRID;ESPANA;n.d.;18/05/2021;31/12/2024;5,55;41;58;1;62,8;0,63;6202;0;6;2
2775.;NEWLIFESOLUTIONS SL.;B02710275;MADRID;ESPANA;n.d.;15/10/2020;31/12/2024;7,46;61;78;1;278,97;2,79;5829;0;5;3
2776.;AVISOVOZ SOCIEDAD LIMITADA.;B02687168;ALBINYANA;ESPANA;n.d.;16/10/2020;31/12/2023;106;14;62;1;178,15;1,78;6201;0;16;0
2777.;TELCO PLANET SL.;B02702884;BOADILLA DEL MONTE;ESPANA;n.d.;07/10/2020;31/12/2024;-119,2;12;77;1;16,67;0,17;6190;0;-14;-14
2778.;SOFTWARE & AUDIT SPECIALIST SOCIEDAD LIMITADA.;B16936999;VILAGARCIA DE AROUSA;ESPANA;1;27/09/2021;31/12/2024;-109,43;14;30;1;77,06;0,77;6201;13,5;-14;-11
2779.;OFISERVER APLICACIONES INFORMATICAS SOCIEDAD DE RESPONSABILIDAD LIMITADA.;B06783468;ZARAGOZA;ESPANA;8;20/05/2021;31/12/2023;-2,72;52;61;1;42,09;0,42;6201;114,38;3;-3
2780.;DO IT TELCO SL.;B67642033;ALICANTE/ALACANT;ESPANA;n.d.;15/10/2021;31/12/2024;11,15;26;27;1;851,56;8,52;6190;0;3;2
2781.;CARBALLUS CONSULTORIA SL.;B88630637;TORRELODONES;ESPANA;n.d.;30/04/2020;31/12/2023;82,56;68;61;2;11,32;0,11;6209;0;57;31
2782.;FG PROYECTOS Y SISTEMAS TECNOLOGICOS SL.;B06793921;PINTO;ESPANA;n.d.;20/05/2021;31/12/2024;42,7;58;54;2;505,69;5,06;6202;0;27;18
2783.;PRINTEA TECNOLOGIA SOCIEDAD LIMITADA.;B02674463;TORRELAVEGA;ESPANA;n.d.;14/10/2020;31/12/2024;-216,29;7;46;1;1,04;0,01;6201;180,02;-15;-12
2784.;DAREINA IT SOLUTIONS S.L.;B67587105;RUBI;ESPANA;n.d.;03/02/2020;31/12/2024;21,46;66;66;1;278,38;2,78;6209;0;14;10
2785.;PAPERLABS DESIGN ESP SL.;B70576863;SANTIAGO DE COMPOSTELA;ESPANA;n.d.;08/01/2019;31/12/2024;10,74;92;55;2;185,42;1,85;6311;117,22;13;7
2786.;LOTTE ENERGY MATERIALS SPAIN S.L.;B10565489;BARCELONA;ESPANA;n.d.;13/04/2022;31/12/2024;-0,5;410.707;n.d.;4;8.364,31;83,64;2611;0,92;-2.034;-1.838
2787.;IDEC APPS SOCIEDAD LIMITADA.;B02687416;DOS HERMANAS;ESPANA;n.d.;16/10/2020;31/12/2024;14,4;304;287;1;8.196,50;81,97;6201;0;47;45
2788.;LIN3S PARTNERS SOCIEDAD LIMITADA.;B10547594;BILBAO;ESPANA;n.d.;08/04/2022;31/12/2023;4,45;14;61;1;123,54;1,24;6209;26,31;6;0
2789.;UBIKUA BY CREA SOLUTIONS SL.;B76824937;GRANADILLA DE ABONA;ESPANA;n.d.;15/05/2020;31/12/2024;0,61;56;40;2;507,9;5,08;6202;0;0;0
2790.;MTZ DESARROLLO Y SOLUCIONES INFORMATICAS SOCIEDAD LIMITADA.;B09826157;SANXENXO;ESPANA;n.d.;25/02/2022;31/12/2024;2,66;37;35;2;105,64;1,06;6209;0;1;1
